,Member Institution,Conference,Division
590,The University of Virginia's College at Wise,South Atlantic Conference,2
591,Thomas Jefferson University,Central Atlantic Collegiate Conference,2
592,Tiffin University,Great Midwest Athletic Conference,2
593,Trevecca Nazarene University,Great Midwest Athletic Conference,2
594,Truman State University,Great Lakes Valley Conference,2
595,Tusculum University,South Atlantic Conference,2
596,Tuskegee University,Southern Intercol. Ath. Conf.,2
597,Union University,Gulf South Conference,2
598,University of Alabama in Huntsville,Gulf South Conference,2
599,University of Alaska Anchorage,Great Northwest Athletic Conference,2
600,University of Alaska Fairbanks,Great Northwest Athletic Conference,2
601,"University of Arkansas, Fort Smith",Lone Star Conference,2
602,"University of Arkansas, Monticello",Great American Conference,2
603,University of Bridgeport,East Coast Conference,2
604,"University of California, San Diego",California Collegiate Athletic Association,2
605,University of Central Missouri,Mid-America Intercollegiate Athletics Association,2
606,University of Central Oklahoma,Mid-America Intercollegiate Athletics Association,2
607,University of Charleston (West Virginia),Mountain East Conference,2
608,"University of Colorado, Colorado Springs",Rocky Mountain Athletic Conference,2
609,University of Findlay,Great Midwest Athletic Conference,2
610,University of Hawaii at Hilo,Pacific West Conference,2
611,University of Illinois at Springfield,Great Lakes Valley Conference,2
612,University of Indianapolis,Great Lakes Valley Conference,2
613,University of Mary,Northern Sun Intercollegiate Conference,2
614,University of Minnesota Duluth,Northern Sun Intercollegiate Conference,2
615,"University of Minnesota, Crookston",Northern Sun Intercollegiate Conference,2
616,University of Missouri-St. Louis,Great Lakes Valley Conference,2
617,University of Montevallo,Gulf South Conference,2
618,University of Mount Olive,Conference Carolinas,2
619,University of Nebraska at Kearney,Mid-America Intercollegiate Athletics Association,2
620,University of New Haven,Northeast-10 Conference,2
621,University of North Carolina at Pembroke,Peach Belt Conference,2
622,University of North Georgia,Peach Belt Conference,2
623,"University of Pittsburgh, Johnstown",Pennsylvania State Athletic Conference,2
624,"University of Puerto Rico, Bayamon",Independent,2
625,"University of Puerto Rico, Mayaguez",Independent,2
626,"University of Puerto Rico, Rio Piedras",Independent,2
627,University of Sioux Falls,Northern Sun Intercollegiate Conference,2
628,University of South Carolina Aiken,Peach Belt Conference,2
629,University of Southern Indiana,Great Lakes Valley Conference,2
630,University of Tampa,Sunshine State Conference,2
631,University of Texas of the Permian Basin,Lone Star Conference,2
632,University of the District of Columbia,East Coast Conference,2
633,University of the Sciences,Central Atlantic Collegiate Conference,2
634,University of West Alabama,Gulf South Conference,2
635,University of West Florida,Gulf South Conference,2
636,University of West Georgia,Gulf South Conference,2
637,University of Wisconsin-Parkside,Great Lakes Intercollegiate Athletic Conference,2
638,Upper Iowa University,Northern Sun Intercollegiate Conference,2
639,Urbana University,Mountain East Conference,2
640,Ursuline College,Great Midwest Athletic Conference,2
641,Valdosta State University,Gulf South Conference,2
642,Virginia State University,Central Intercollegiate Athletic Association,2
643,Virginia Union University,Central Intercollegiate Athletic Association,2
644,Walsh University,Great Midwest Athletic Conference,2
645,Washburn University of Topeka,Mid-America Intercollegiate Athletics Association,2
646,Wayne State College (Nebraska),Northern Sun Intercollegiate Conference,2
647,Wayne State University (Michigan),Great Lakes Intercollegiate Athletic Conference,2
648,West Chester University of Pennsylvania,Pennsylvania State Athletic Conference,2
649,West Liberty University,Mountain East Conference,2
650,West Texas A&M University,Lone Star Conference,2
651,West Virginia State University,Mountain East Conference,2
652,West Virginia Wesleyan College,Mountain East Conference,2
653,Western Colorado University,Rocky Mountain Athletic Conference,2
654,Western New Mexico University,Lone Star Conference,2
655,Western Oregon University,Great Northwest Athletic Conference,2
656,Western Washington University,Great Northwest Athletic Conference,2
657,Westminster College (Utah),Rocky Mountain Athletic Conference,2
658,Wheeling University,Mountain East Conference,2
659,William Jewell College,Great Lakes Valley Conference,2
660,Wilmington University (Delaware),Central Atlantic Collegiate Conference,2
661,Wingate University,South Atlantic Conference,2
662,Winona State University,Northern Sun Intercollegiate Conference,2
663,Winston-Salem State University,Central Intercollegiate Athletic Association,2
664,Young Harris College,Peach Belt Conference,2
