,Member Institution,Conference,Division
147,Northern Illinois University,Mid-American Conference,1
148,Northern Kentucky University,Horizon League,1
149,Northwestern State University,Southland Conference,1
150,Northwestern University,Big Ten Conference,1
151,Oakland University,Horizon League,1
152,Ohio University,Mid-American Conference,1
153,Oklahoma State University,Big 12 Conference,1
154,Old Dominion University,Conference USA,1
155,Oral Roberts University,The Summit League,1
156,Oregon State University,Pac-12 Conference,1
157,Pennsylvania State University,Big Ten Conference,1
158,Pepperdine University,West Coast Conference,1
159,Portland State University,Big Sky Conference,1
160,Prairie View A&M University,Southwestern Athletic Conf.,1
161,Presbyterian College,Big South Conference,1
162,Princeton University,The Ivy League,1
163,Providence College,Big East Conference,1
164,Purdue University,Big Ten Conference,1
165,Purdue University Fort Wayne,The Summit League,1
166,Quinnipiac University,Metro Atlantic Athletic Conference,1
167,Radford University,Big South Conference,1
168,Rice University,Conference USA,1
169,Rider University,Metro Atlantic Athletic Conference,1
170,Robert Morris University,Northeast Conference,1
171,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,1
172,Sacred Heart University,Northeast Conference,1
173,Saint Francis University (Pennsylvania),Northeast Conference,1
174,Saint Joseph's University,Atlantic 10 Conference,1
175,Saint Louis University,Atlantic 10 Conference,1
176,Saint Mary's College of California,West Coast Conference,1
177,Saint Peter's University,Metro Atlantic Athletic Conference,1
178,Sam Houston State University,Southland Conference,1
179,Samford University,Southern Conference,1
180,San Diego State University,Mountain West Conference,1
181,San Jose State University,Mountain West Conference,1
182,Santa Clara University,West Coast Conference,1
183,Seattle University,Western Athletic Conference,1
184,Seton Hall University,Big East Conference,1
185,Siena College,Metro Atlantic Athletic Conference,1
186,South Carolina State University,Mid-Eastern Athletic Conf.,1
187,South Dakota State University,The Summit League,1
188,Southeast Missouri State University,Ohio Valley Conference,1
189,Southeastern Louisiana University,Southland Conference,1
190,Southern Illinois University at Carbondale,Missouri Valley Conference,1
191,Southern Illinois University Edwardsville,Ohio Valley Conference,1
192,Southern Methodist University,American Athletic Conference,1
193,"Southern University, Baton Rouge",Southwestern Athletic Conf.,1
194,Southern Utah University,Big Sky Conference,1
195,St. Bonaventure University,Atlantic 10 Conference,1
196,St. Francis College Brooklyn,Northeast Conference,1
197,St. John's University (New York),Big East Conference,1
198,Stanford University,Pac-12 Conference,1
199,Stephen F. Austin State University,Southland Conference,1
200,Stetson University,ASUN Conference,1
201,Stony Brook University,America East Conference,1
202,Syracuse University,Atlantic Coast Conference,1
203,Temple University,American Athletic Conference,1
204,Tennessee State University,Ohio Valley Conference,1
205,Tennessee Technological University,Ohio Valley Conference,1
206,"Texas A&M University, College Station",Southeastern Conference,1
207,Texas A&M University-Corpus Christi,Southland Conference,1
208,Texas Christian University,Big 12 Conference,1
209,Texas Southern University,Southwestern Athletic Conf.,1
210,Texas State University,Sun Belt Conference,1
211,Texas Tech University,Big 12 Conference,1
212,The Citadel,Southern Conference,1
213,The Ohio State University,Big Ten Conference,1
214,The University of North Carolina at Charlotte,Conference USA,1
215,The University of North Carolina at Greensboro,Southern Conference,1
216,The University of Southern Mississippi,Conference USA,1
217,The University of Texas Rio Grande Valley,Western Athletic Conference,1
218,The University of Tulsa,American Athletic Conference,1
219,Towson University,Colonial Athletic Association,1
220,Troy University,Sun Belt Conference,1
221,Tulane University,American Athletic Conference,1
222,U.S. Air Force Academy,Mountain West Conference,1
223,U.S. Military Academy,Patriot League,1
224,U.S. Naval Academy,Patriot League,1
225,University at Albany,America East Conference,1
226,"University at Buffalo, the State University of New York",Mid-American Conference,1
227,University of Akron,Mid-American Conference,1
228,University of Alabama,Southeastern Conference,1
229,University of Alabama at Birmingham,Conference USA,1
230,University of Arizona,Pac-12 Conference,1
231,University of Arkansas at Little Rock,Sun Belt Conference,1
232,"University of Arkansas, Fayetteville",Southeastern Conference,1
233,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,1
234,"University of California, Berkeley",Pac-12 Conference,1
235,"University of California, Davis",Big West Conference,1
236,"University of California, Irvine",Big West Conference,1
237,"University of California, Los Angeles",Pac-12 Conference,1
238,"University of California, Riverside",Big West Conference,1
239,"University of California, Santa Barbara",Big West Conference,1
240,University of Central Arkansas,Southland Conference,1
241,University of Central Florida,American Athletic Conference,1
242,University of Cincinnati,American Athletic Conference,1
243,"University of Colorado, Boulder",Pac-12 Conference,1
244,University of Connecticut,American Athletic Conference,1
245,University of Dayton,Atlantic 10 Conference,1
246,University of Delaware,Colonial Athletic Association,1
247,University of Denver,The Summit League,1
248,University of Detroit Mercy,Horizon League,1
249,University of Evansville,Missouri Valley Conference,1
250,University of Florida,Southeastern Conference,1
